group_name,specimen_id,sigma_debond,sigma_ultimate,max_force_N,elongation_pct,failure_mode,test_date,interface_type
F0,F0-试样1,1.11,1.11,43.35,7.57,AF,2026-06-27,flat
F0,F0-试样2,1.46,1.46,57.07,9.72,AF,2026-06-27,flat
F0,F0-试样3,1.51,1.51,58.93,11.61,AF,2026-06-27,flat
F1,F1-试样1,1.29,1.29,50.38,8.78,AF,2026-06-27,flat
F1,F1-试样2,0.86,0.86,33.35,4.85,AF,2026-06-27,flat
F1,F1-试样3,1.31,1.31,50.99,8.7,AF,2026-06-27,flat
F1,F1-试样4,1.36,1.36,53.07,9.3,AF,2026-06-27,flat
F1,F1-试样5,0.98,0.98,38.01,6.05,AF,2026-06-27,flat
N1,N1-试样1,2.11,2.11,82.42,15.56,CF-T,2026-06-27,sinusoidal
N1,N1-试样2,1.68,1.68,65.59,11.73,CF-T,2026-06-27,sinusoidal
N1,N1-试样3,2.22,2.22,86.42,17.46,CF-T,2026-06-27,sinusoidal
N1,N1-试样4,1.76,1.76,68.84,11.68,CF-T,2026-06-27,sinusoidal
N1,N1-试样5,1.81,1.81,70.74,12.93,CF-T,2026-06-27,sinusoidal
N2,N2-试样1,1.38,1.38,53.88,8.91,CF-T,2026-06-27,sinusoidal
N2,N2-试样2,1.59,1.59,62.15,11.28,CF-T,2026-06-27,sinusoidal
N2,N2-试样3,1.56,1.56,60.73,10.68,CF-T,2026-06-27,sinusoidal
N3,N3-试样1,2.4,2.4,93.59,23.67,CF-T,2026-06-27,sinusoidal
N3,N3-试样2,2.02,2.02,78.86,19.94,CF-T,2026-06-27,sinusoidal
N3,N3-试样3,2.54,2.54,98.96,29.27,CF-T,2026-06-27,sinusoidal
N3,N3-试样4,2.42,2.42,94.38,22.46,CF-T,2026-06-27,sinusoidal
N3,N3-试样5,2.51,2.51,97.95,45.9,CF-T,2026-06-27,sinusoidal
S1,S1-试样1,2.09,2.09,81.47,23.31,CF-T,2026-06-27,sawtooth
S1,S1-试样2,1.67,1.67,65.32,15.07,CF-T,2026-06-27,sawtooth
S1,S1-试样3,1.66,1.66,64.88,14.13,CF-T,2026-06-27,sawtooth
S1,S1-试样4,2.01,2.01,78.24,17.95,CF-T,2026-06-27,sawtooth
S1,S1-试样5,2.08,2.08,81.05,16.34,CF-T,2026-06-27,sawtooth
S2,S2-试样1,1.83,1.83,71.28,15.6,CF-T,2026-06-27,sawtooth
S2,S2-试样2,2.08,2.08,80.96,19.51,CF-T,2026-06-27,sawtooth
S2,S2-试样3,2.16,2.16,84.08,19.93,CF-T,2026-06-27,sawtooth
S2,S2-试样4,None,None,None,None,CF-T,2026-06-27,sawtooth
S2,S2-试样5,1.88,1.88,73.53,26.92,CF-T,2026-06-27,sawtooth
S3,S3-试样1,1.88,1.88,73.33,20.92,CF-T,2026-06-27,sawtooth
S3,S3-试样2,2.25,2.25,87.74,20.96,CF-T,2026-06-27,sawtooth
S3,S3-试样3,2.34,2.34,91.09,23.18,CF-T,2026-06-27,sawtooth
S3,S3-试样4,2.29,2.29,89.19,22.52,CF-T,2026-06-27,sawtooth
S3,S3-试样5,2.38,2.38,92.84,23.03,CF-T,2026-06-27,sawtooth
